cornyield_smooth1960,cornyield_smooth2000,Cluster
28.4,52.599998,1
40.400002,,1
27.0,,1
29.6,,1
31.0,95.199997,1
24.4,,1
28.6,47.799999,1
29.799999,,1
22.799999,,1
30.6,83.199997,1
29.0,,1
27.0,,1
27.4,,1
23.799999,,2
25.6,,2
26.6,,1
28.4,113.4,1
28.200001,,1
25.4,,1
27.200001,,1
27.200001,,1
32.0,97.599998,1
27.799999,54.799999,1
27.0,73.0,1
32.599998,91.199997,2
27.799999,71.199997,1
32.200001,,1
31.0,,1
28.200001,72.599998,1
27.200001,,1
29.200001,,1
23.799999,,1
24.200001,,1
29.0,,1
29.4,,1
33.200001,,2
31.0,,1
25.4,,1
28.0,96.599998,1
27.799999,111.2,1
23.6,,1
37.400002,104.4,1
24.4,64.800003,1
22.6,,1
29.0,99.400002,2
23.799999,,1
26.799999,,1
32.200001,88.599998,1
34.799999,78.599998,1
30.0,,1
25.200001,,1
28.200001,94.800003,1
27.0,,1
24.200001,,1
26.0,77.599998,1
24.4,,1
22.799999,,1
26.0,,1
26.799999,,1
22.799999,,1
24.4,,1
23.4,,1
26.200001,81.0,1
28.799999,,1
30.0,56.0,1
26.0,,1
28.6,,1
,,0
,198.2,3
,,0
,,3
,186.42,3
,,3
,,3
,172.94,3
,,3
,,0
,,3
,177.2,3
,,3
,,3
,190.95999,3
,,1
,,1
,,1
,,1
,,2
,,1
,,1
,,2
,,1
,,1
,132.88,1
,,1
,,1
,,1
,,1
,114.2,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,2
,,1
,,1
,124.88,1
,,1
,,1
,,1
,123.8,1
,,1
,142.48,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,2
,,1
,90.019997,1
,136.88,1
,144.60001,1
,,1
,,1
,,2
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,136.25999,1
,,1
,,1
,,1
,,2
,,1
,,1
,,1
,,1
,,1
,,1
,,2
,,1
,130.06,1
,,1
,,0
,,0
,,3
,,3
,,3
,147.89999,3
,134.8,0
,,0
,,0
,162.66,3
,196.25999,3
,,0
,179.53999,3
,,0
,163.94,3
,174.84,3
,,0
,,0
,,3
,172.16,3
,,0
,,3
,,0
,172.36,3
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,146.62,3
,156.86,0
,,0
,0.0,3
,,0
,163.45999,0
,,0
,,0
,0.0,0
,,0
,,0
,,0
,,0
,,0
,169.82001,0
,,0
,138.8,3
,174.32001,3
,175.42,3
,180.82001,3
,,3
,,0
,178.48,3
,,3
,104.4,0
,,0
,76.5,0
,,0
,163.3,0
,142.89999,0
,131.39999,0
,,0
,108.2,0
,,0
,,0
,115.7,0
,,0
,168.7,0
,,0
,,0
,,0
,,0
,48.0,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,61.400002,0
,121.2,0
,,0
,,0
,135.8,0
,,0
,80.699997,0
,122.4,0
,145.3,0
,,0
,,0
,161.5,0
,160.0,0
,155.60001,0
,,0
,,0
,127.4,0
,,0
,150.39999,0
,176.0,0
,,0
,,0
,,0
,,0
,,0
,124.0,0
,,0
,103.9,0
,156.8,0
,173.0,0
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
59.5,117.5,2
64.580002,86.980003,2
58.759998,121.44,2
,72.260002,1
,,1
,,1
,,1
,,1
,,1
,84.339996,1
,,1
,,1
,,1
,,1
,70.279999,1
,,1
,,1
,,1
,83.479996,1
,,1
,81.199997,1
,69.400002,1
,,1
,,1
,90.519997,1
,,1
,,1
,,1
,,1
,,1
,86.559998,1
,,1
,98.919998,1
,73.82,1
,80.959999,1
,,1
,,1
,,1
,68.5,1
,,1
,73.720001,1
,,1
,,1
,,1
,,1
,,1
,78.800003,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,73.519997,1
,,1
,,1
,,1
,84.379997,1
,,1
,,1
,,1
,,1
,82.260002,1
,85.260002,1
29.76,52.5,1
34.119999,92.519997,1
31.6,68.860001,1
28.1,163.12,1
24.58,,1
23.559999,,2
22.48,,1
29.559999,105.58,2
30.799999,107.26,1
34.200001,87.800003,1
32.580002,,1
27.559999,117.18,1
35.119999,56.200001,1
32.0,96.639999,1
36.200001,57.200001,1
34.540001,66.760002,1
26.120001,89.360001,1
26.139999,,1
35.239998,145.46001,1
31.459999,,1
26.719999,,1
27.42,,2
40.720001,,2
27.799999,,1
28.699999,,1
17.440001,,1
28.92,72.139999,2
32.82,,2
28.6,,1
32.82,,1
22.24,,1
31.440001,,1
25.379999,,2
33.560001,106.4,1
35.82,105.1,1
19.76,,1
33.16,75.339996,1
28.879999,,1
24.68,,1
